childId,name,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
10001,child_10001,-0.455673,-0.479706,-1.109901,-0.288122,0.496145,-0.060130,0.586112,-0.134925,-0.127982,0.269137,0.687707,-0.340925,0.100002,-1.501636,0.499159,0.732330,0.606289,-0.597310,0.205774,-0.601721,-0.266980,0.043775,-0.641277,-0.514802,-0.075352,-0.348503,0.695420,0.216356,-0.775732,0.138565,0.079026,-0.071842,0.583325,-0.707971,0.979785,-0.408720,0.980859,0.070069,1.267746,-0.817082,0.440599,0.772338,-0.627924,-0.226638,-0.531147,-0.703784,0.070256,-0.396662,0.032439,0.836578,-0.854832,0.295562,0.397568,-0.314114,0.125804,0.586971,0.540080,0.470943,-0.071354,-1.371524,-0.063425,-0.248046,-0.299334,1.235523,0.455344,0.556686,0.058568,-0.130799,0.061468,-0.824881,0.152159,-0.686320,-0.314470,-0.832409,0.067481,0.310598,-0.448876,0.860173,0.080614,-0.436599,-0.729725,-0.040210,-0.285062,0.012183,0.868174,-0.713280,0.577798,0.213388,-1.611030,0.894057,-0.074598,0.077084,-0.524817,0.309330,-0.118333,-0.103390,-0.270865,-0.675624,-1.207866,0.214565,-0.615024,0.896826,0.172712,-0.664385,0.320090,0.466503,0.305030,-0.481890,-0.235310,-0.031085,-0.026821,0.563590,0.900049,0.326358,-0.665260,0.470252,-0.228051,0.324659,0.280419,0.781938,-0.011044,-0.378003,0.891237,0.627763,0.461345,-0.930236,0.282026,-0.004088
10001,child_10001,0.300605,-2.307698,-0.985658,-0.507742,0.195479,-1.911178,0.044024,-0.731904,-0.401175,0.566168,1.108622,-0.436407,-0.005468,-2.459630,0.815528,1.643570,1.983782,0.282129,-0.294227,-0.157849,-0.063139,-0.722524,-0.926194,-0.160336,1.233807,-0.225813,0.739316,0.408847,0.188081,0.628038,0.891776,0.553256,1.461531,-0.553779,0.299083,-0.013631,0.515294,1.503001,0.284704,-0.456855,1.134827,0.893225,0.174661,0.293406,-1.091968,-0.186774,0.168528,-0.623385,-0.989006,0.309886,-0.894564,-0.636459,0.087190,-0.120297,1.678696,-0.115463,0.144518,1.193675,-0.027554,-1.429727,0.627210,-0.417999,-1.004366,1.729794,0.954837,1.326362,-0.160314,-0.556469,0.845369,-0.776731,0.292172,-1.778672,-0.344947,-0.452765,-0.184391,0.333668,-0.942278,-0.124846,1.147569,-0.707537,0.104084,-0.412628,-0.196483,0.557785,1.327516,-0.993689,0.175718,-0.025557,-1.919306,1.609132,0.087888,0.163005,-0.224895,0.404103,-0.511570,-0.568831,0.368232,0.142900,-2.160357,-0.411855,-0.898113,0.597982,-0.136165,-0.630350,0.351236,0.722488,0.596882,-0.980695,-0.842570,0.197885,-0.760732,1.665227,1.819594,-1.137664,-0.865690,-0.872367,-1.106885,-0.238462,1.128671,-0.113026,1.074165,-0.289617,0.569544,0.492599,0.720177,-0.896670,0.106533,0.258684
10001,child_10001,0.423204,-2.238373,-1.045022,-0.398118,0.347807,-1.926902,0.000954,-0.610133,-0.316567,0.508225,1.244006,-0.362155,0.033714,-2.253112,0.595963,1.735474,1.933817,0.188940,-0.327797,-0.035777,-0.269815,-0.452505,-0.942498,-0.072379,1.314088,-0.186114,0.714371,0.365230,0.389482,0.531991,0.875511,0.482354,1.459886,-0.599579,0.228631,0.039393,0.519726,1.671740,0.338928,-0.375461,1.134282,0.974934,0.327316,0.272147,-1.294123,-0.214100,-0.026993,-0.611074,-0.962086,0.509453,-0.722790,-0.632946,0.319768,-0.100015,1.607245,-0.180300,0.194629,1.044987,-0.082663,-1.276680,0.512889,-0.366158,-1.079004,1.757752,1.041893,1.256207,-0.185172,-0.516008,0.803000,-0.740371,0.245576,-1.620824,-0.554473,-0.303044,-0.177136,0.310362,-0.814742,-0.046474,1.246596,-0.700931,0.105340,-0.355946,-0.079903,0.472900,1.301636,-0.941709,0.188454,0.054337,-1.903991,1.509260,0.160276,0.283831,-0.159038,0.343898,-0.392795,-0.652173,0.368218,0.126180,-2.169606,-0.612923,-0.857751,0.488767,-0.205293,-0.635487,0.293338,0.730002,0.713705,-1.120817,-0.929613,0.058361,-0.515971,1.714053,1.877426,-1.071968,-0.794267,-0.955996,-1.064696,-0.092314,1.279976,-0.049986,1.001596,-0.367844,0.603963,0.458296,0.770359,-0.868819,0.077060,0.333693
10001,child_10001,0.353469,-2.394935,-1.454085,-0.140232,0.390377,-1.939428,-0.162452,-0.654134,0.155382,0.487665,1.114650,-0.222476,0.019798,-2.386915,0.412881,1.766765,2.023606,0.357543,-0.344508,-0.100326,-0.391140,-0.439059,-1.109820,-0.090119,1.230303,-0.350832,0.757692,0.408029,0.306530,0.822624,1.196070,0.465900,1.850337,-0.558109,0.098536,-0.009774,0.261495,1.792848,0.281584,-0.264152,0.876812,1.219609,0.231674,0.295405,-1.311154,-0.373037,-0.336560,-0.491145,-0.812182,0.487991,-0.413558,-0.864268,0.303833,-0.078161,1.913982,-0.179299,0.007821,0.907892,-0.275493,-1.493188,0.352016,-0.203722,-1.181802,1.673909,1.276777,1.350742,-0.394005,-0.288703,0.554949,-0.826099,0.404281,-1.695064,-0.379668,-0.529328,-0.192515,0.349396,-0.771914,-0.022430,1.276686,-0.682360,0.083127,-0.384572,-0.089664,0.650508,1.004889,-0.945258,0.016378,0.087619,-1.973647,1.482844,0.463632,0.389349,-0.495321,0.473973,-0.566119,-0.674188,0.199970,0.177205,-2.452829,-0.630281,-0.671070,0.643537,-0.308747,-0.838135,0.263645,0.652723,0.613972,-1.506190,-0.983831,-0.065346,-0.474475,1.718137,1.547102,-1.047186,-0.755017,-0.863065,-1.232481,-0.265634,1.293707,0.034372,0.876562,-0.418540,0.753160,0.380025,0.966470,-1.066293,0.169111,0.294478
10001,child_10001,0.467887,-2.198530,-1.344609,-0.440073,0.238689,-2.102727,0.055986,-0.898729,0.166335,0.366316,1.394760,-0.525660,-0.233437,-2.685535,0.699376,1.515017,1.994758,0.607404,-0.116259,-0.023238,-0.285750,-0.824421,-0.932299,-0.209074,1.245312,-0.263058,0.783298,0.095989,0.057728,0.853242,1.098364,0.565137,1.622941,-0.352562,0.239784,-0.038161,0.841900,1.753059,0.291615,-0.574493,0.954170,1.243843,0.245524,0.574417,-1.436840,-0.247632,-0.462226,-0.747464,-0.850193,0.423505,-0.617446,-1.244924,0.222435,0.182654,1.770269,-0.307905,0.183656,1.226166,-0.643338,-1.866308,0.476819,0.154741,-1.205760,1.803373,0.984089,1.918582,-0.301568,-0.703843,0.843976,-0.366980,0.880400,-1.869849,-0.368318,-0.542118,-0.520717,0.414904,-1.024924,-0.221909,1.221669,-0.632200,0.330550,-0.395645,0.006237,0.643719,1.308589,-1.060903,0.035877,0.116818,-1.967708,1.483143,0.300687,-0.021950,-0.755032,0.761909,-0.961934,-0.514335,0.212646,0.115548,-2.604674,-0.790142,-0.925427,0.541290,-0.101750,-0.822896,0.450034,0.967199,0.730346,-1.434842,-0.863963,0.223041,-0.714988,1.481917,1.578637,-1.061648,-1.139881,-0.749285,-1.481139,-0.821984,1.212735,-0.133932,0.976792,-0.373285,0.811876,0.237349,0.888736,-1.152618,0.321804,0.069863
10002,child_10002,-0.218291,-0.304539,-0.239283,-0.554459,0.320621,-0.044459,-0.041447,-0.085577,0.003222,-0.041981,0.461398,-0.059903,-0.030086,-0.600329,0.027361,-0.156131,0.245889,-0.174774,0.159157,-0.561349,-0.131416,-0.149056,-0.418891,-0.021899,0.082721,-0.062627,0.467451,0.111913,-0.465894,-0.238420,-0.244713,0.083255,-0.180099,-0.076842,0.445494,-0.030876,0.522519,0.037190,0.550964,-0.306684,0.314830,0.172562,0.146170,-0.110062,-0.485535,-0.693269,0.146571,-0.226503,0.407041,-0.043185,-0.330766,0.334267,0.509296,-0.477451,-0.073168,0.435312,0.218944,-0.020233,-0.017272,-0.710402,-0.262109,0.063453,-0.191508,0.864020,0.246354,0.670290,0.081803,-0.066645,0.025752,-0.132918,0.326116,-0.509451,0.170847,-0.677847,0.086702,-0.146180,-0.143668,0.470064,-0.281424,-0.562103,-0.277301,-0.284849,-0.224745,0.331946,0.343267,0.191835,0.303449,-0.104763,-0.583728,0.643308,0.276984,0.070701,-0.307997,-0.138710,0.370927,0.440396,0.107371,-0.683257,-0.352413,0.300266,-0.270404,0.483308,0.507892,-0.484866,0.163571,0.378722,0.066780,-0.288746,-0.192113,-0.425908,0.173065,0.220469,0.387601,0.418697,0.080412,0.226943,-0.407262,0.753707,0.491550,0.398568,-0.432070,-0.503161,0.506235,0.438911,0.238912,-0.441022,0.685619,0.004894
10002,child_10002,-0.158082,-2.000452,-1.808557,-0.062049,0.147823,-2.396002,-0.335916,-0.632057,-0.849358,0.109487,0.668804,-0.977383,0.206342,-2.664269,0.968902,0.377951,1.563135,-0.074984,-0.908962,-0.903447,-0.278258,-0.175306,-1.001312,0.411983,1.210589,0.556102,0.473934,2.137590,0.573861,-0.478491,0.922640,1.649513,0.213899,-0.838805,0.429638,-0.388618,-0.356758,0.353544,-0.043883,-0.655513,-0.642184,1.728755,0.674693,-1.201172,0.060096,-0.132260,1.246726,0.082029,-0.679686,0.601336,0.493075,-0.481561,0.106520,0.340769,0.392557,0.059173,-0.228024,0.734062,-0.325646,-1.265266,0.628377,-0.916776,-0.352974,1.976203,0.776109,0.943794,0.658978,-0.302692,1.090576,-1.643549,-0.166609,-1.789051,-0.214844,-1.005004,-0.102806,0.458188,-0.072964,1.121825,0.318008,-1.122242,-0.751079,0.601417,-0.904816,0.400342,-0.172950,-0.401608,0.747738,-1.147274,-0.872419,1.134037,1.219335,0.146572,-0.477616,0.920473,0.533205,0.715711,-0.339262,-0.457049,-0.894024,-0.082997,-0.469420,1.206721,1.881117,-1.351439,0.308845,0.509222,-0.716766,0.667493,-0.118792,-0.715250,-1.003515,0.790327,0.295470,0.356599,0.196153,0.853703,-1.109092,0.099619,-0.669906,0.288081,-0.397189,-0.151053,0.575854,0.817882,1.024749,-1.089048,-0.070817,-1.771287
10002,child_10002,0.403109,-1.808692,-1.127939,-0.764851,0.363128,-2.092056,-0.357816,-0.722937,-0.470677,-0.243869,1.181045,-0.831870,0.146236,-2.584246,0.975410,0.335564,1.593911,-0.255612,-0.587643,-0.466949,-0.063062,-0.107932,-1.347983,0.548169,1.248950,0.757140,0.770137,1.780227,0.373655,-0.393433,0.928301,1.856089,-0.310028,-0.278644,-0.005365,-0.021032,-0.426390,0.515000,-0.403086,-0.011502,-0.372291,1.377081,0.917258,-1.091285,-0.532362,-0.106470,0.875466,-0.163650,-0.365114,0.591314,-0.007463,-0.875786,0.305904,0.336971,0.644413,-0.336379,-0.261392,0.315423,0.027438,-0.951563,0.463852,-0.677897,-0.216880,2.238072,0.640284,1.011964,0.495002,-0.630352,1.010043,-0.908004,-0.130921,-1.668101,0.025139,-0.637860,-0.199313,0.494783,-0.203579,0.847996,-0.087247,-0.688050,-0.904667,0.445183,-0.978403,0.361520,0.513456,-0.490903,0.662430,-1.181519,-0.767033,1.213027,1.125623,-0.184545,-0.455437,0.334092,0.971665,0.427047,-0.392912,0.031360,-0.560133,-0.381843,-0.105681,0.359148,1.785880,-0.873445,0.434167,0.866454,-0.486378,0.951698,-0.371288,-1.226318,-0.032561,0.035578,0.279238,0.592906,0.351898,0.681537,-1.020606,0.189921,-0.045129,0.462570,0.285454,-0.119216,0.019088,0.259722,0.457487,-1.003630,-0.269932,-1.398928
10002,child_10002,0.249774,-1.628088,-1.486163,-0.597630,0.434314,-1.781327,-0.436052,-0.517646,-0.687070,-0.247213,0.542795,-0.745755,-0.256302,-1.935357,0.804132,0.274981,1.577140,-0.017661,-0.506814,-1.029456,-0.391438,-0.041934,-1.246075,0.303744,1.270002,0.796375,0.135161,1.575193,0.481369,-0.528172,1.232167,1.437888,-0.153893,-0.366397,0.433641,0.077254,-0.303511,0.568729,-0.024013,0.249851,-0.086406,1.478801,1.235709,-1.046870,-0.052572,-0.038266,0.802474,0.358258,-0.399915,0.531558,-0.123689,-0.245477,0.516141,0.350697,0.483224,0.112073,-0.265350,0.442767,0.133913,-1.144473,0.382620,-0.788234,-0.741341,2.413460,0.767460,0.884532,0.459376,-0.254975,0.981169,-1.470340,0.020566,-1.280529,-0.076562,-0.800909,-0.263931,0.264822,0.058297,0.883970,-0.037217,-0.975933,-0.893853,0.456466,-0.843581,0.075888,0.260439,-0.785210,0.489759,-0.957881,-0.814812,1.405834,0.736743,0.170358,-0.495077,0.320994,0.810529,0.375707,-0.251765,-0.078906,-0.575032,0.133492,-0.056571,0.735909,1.340631,-0.945747,-0.006431,0.803116,-0.354268,0.572465,-0.471695,-1.398858,-0.417391,0.886985,0.545040,0.306696,0.454519,0.631997,-0.608704,0.535493,0.172417,0.378095,0.064214,-0.197442,0.622495,0.466061,0.597519,-1.109139,0.155789,-1.119973
10002,child_10002,0.409455,-2.128669,-1.331502,-0.458250,0.458488,-2.306140,-0.652818,-0.911732,-0.305581,-0.260671,0.635218,-1.072819,0.013265,-2.239230,0.711148,0.384940,1.262747,0.069173,-0.828045,-0.802041,-0.097273,-0.112760,-0.894265,0.243599,1.370637,0.598336,0.360920,2.006180,0.612265,-0.368059,0.766795,1.457132,-0.186559,-0.429395,0.180247,-0.067586,-0.575450,0.460618,0.032635,-0.270464,-0.455484,1.536058,1.125887,-1.340971,-0.465244,-0.358695,0.782358,-0.004424,-0.582450,0.672395,0.356983,-0.778159,0.330634,0.132324,0.727644,-0.345862,-0.057967,0.563364,-0.010274,-0.783836,0.636539,-1.012326,-0.329263,2.302384,0.645786,1.152704,0.448003,-0.388448,0.933231,-1.233532,-0.283779,-1.666282,-0.053786,-1.150359,-0.000183,0.622598,0.008760,1.047393,0.345727,-1.186345,-0.968864,0.618459,-0.469689,0.569982,-0.091063,-0.616420,0.608778,-1.240120,-0.655856,1.073040,1.480217,0.209842,-0.741380,0.534068,0.707096,0.493151,-0.888424,-0.485443,-0.953427,-0.440046,-0.012924,0.879687,1.552238,-1.237171,0.518644,0.519136,-0.561287,0.481841,-0.514790,-1.217460,-0.006916,0.509332,0.172379,0.642692,0.632841,0.596387,-0.852672,0.533860,-0.342057,0.529985,0.023076,-0.180957,0.535345,0.393955,0.675187,-1.341147,0.039893,-1.660228
10003,child_10003,-0.165133,-0.294731,-0.488880,-0.355510,0.513729,-0.087504,0.063164,-0.134903,0.149095,-0.061684,0.475418,-0.353666,-0.128260,-0.784904,0.169755,0.319810,0.370320,-0.235806,0.146766,-0.585651,-0.141228,0.083008,-0.301714,-0.088485,0.050290,-0.249522,0.517765,0.180130,-0.484806,-0.022452,-0.170077,0.182911,0.230126,-0.207296,0.676998,-0.181666,0.425509,-0.072128,0.579235,-0.113466,0.217423,0.194170,-0.290372,-0.188940,-0.443197,-0.741845,0.180394,-0.034475,0.336713,0.404708,-0.293354,0.216789,0.405724,-0.325033,0.137911,0.327140,0.493688,0.230914,-0.294544,-0.873094,-0.230878,-0.459575,-0.222648,0.943124,0.365217,0.527666,0.254070,0.078381,0.067868,-0.494305,0.017363,-0.636305,0.061039,-0.619014,-0.069834,-0.052024,0.002524,0.635721,-0.323227,-0.522073,-0.734306,-0.127400,0.069629,0.310321,0.428358,-0.101201,0.541662,-0.319660,-0.752209,0.683787,0.219501,0.167914,-0.383978,-0.101473,0.287833,0.141340,-0.208923,-0.645615,-0.961746,0.160982,-0.413161,0.703986,0.197145,-0.439940,0.208867,0.215955,-0.011492,-0.184343,-0.059068,-0.398744,-0.035910,0.311174,0.482548,0.483696,-0.167408,0.236527,-0.031096,0.347861,0.371870,0.401435,-0.344303,-0.334887,0.489254,0.254199,0.473689,-0.645099,0.247683,0.097925
10003,child_10003,0.228601,-0.509299,-1.566731,-0.461067,0.254256,-1.066277,-0.062899,-0.224350,0.280035,-0.385900,0.473860,-0.235363,-0.005272,-1.641960,0.450479,0.363566,0.813118,-0.534637,0.049573,-0.617585,-1.031084,0.130649,-1.044256,0.081924,0.258885,-0.009912,0.587641,0.566143,-0.282687,0.313794,0.275296,0.225139,0.382230,-0.557161,0.394457,-0.126281,0.298539,0.020151,0.847968,-0.510177,0.288904,1.037074,-0.167484,-0.419246,-0.651441,-0.920533,-0.031072,-0.377728,-0.536054,0.751329,0.099496,-0.045546,0.634502,-0.357679,-0.090070,0.457984,0.519641,-0.098747,-0.227171,-1.218543,0.155354,-0.590783,-0.302140,1.749257,0.959911,0.863630,0.324871,-0.417777,-0.062260,-0.757589,0.534194,-0.954505,0.135940,-1.065503,0.292738,0.327196,-0.024772,1.177651,0.038325,-1.222715,-0.668682,0.596985,-0.494695,0.243372,0.783784,-1.248791,0.442367,-0.690880,-1.513165,1.137820,0.361379,-0.285916,-0.933925,0.141199,-0.329705,-0.080799,-0.180131,-0.293053,-1.518401,-0.160240,-0.434746,0.846533,1.097751,-0.600887,0.259811,0.852987,-0.085055,-0.055663,-0.544327,-0.356328,0.152215,1.069011,0.709045,0.483056,0.007213,0.388525,-0.601016,0.112277,0.347883,0.703981,0.377190,-0.724705,0.796854,0.563039,0.751574,-1.493652,-0.146396,-0.480678
10003,child_10003,0.235094,-0.820814,-1.783118,-0.501303,0.338165,-1.246647,-0.103558,-0.395133,0.222836,-0.302920,0.634849,-0.312049,-0.027156,-1.913267,0.442709,0.693839,0.911388,-0.232703,0.076916,-0.742249,-0.984243,0.222410,-1.023807,-0.035147,0.399543,0.224569,0.443889,0.705826,-0.275633,0.318266,0.447526,0.549993,0.361436,-0.404373,0.405377,-0.034430,0.177567,0.249323,0.689869,-0.498565,0.375507,1.120063,0.137302,-0.340681,-0.580963,-0.754245,0.102263,-0.370689,-0.639705,0.892222,-0.011456,-0.103114,0.616814,-0.212315,0.082298,0.350197,0.260324,0.143674,-0.220771,-1.381823,0.241363,-0.682032,-0.645268,1.994283,1.175809,0.828716,0.403791,-0.507951,0.105477,-1.001106,0.599695,-1.053443,-0.009357,-0.920743,0.149778,0.390966,-0.066382,1.128442,0.047739,-1.263457,-0.681041,0.581104,-0.541632,0.336417,0.775241,-1.552640,0.330601,-0.698799,-1.535460,1.109102,0.271589,-0.391443,-0.966618,0.234333,-0.181711,-0.199470,-0.326558,-0.130118,-1.662700,-0.347001,-0.289937,0.685437,0.906432,-0.786992,-0.035624,1.101203,0.029334,-0.109669,-0.615545,-0.516521,0.103152,1.441784,0.815446,0.493014,0.179398,0.424329,-0.564716,-0.240859,0.143453,0.811324,0.502042,-0.635450,0.925303,0.635509,0.773258,-1.635775,0.043476,-0.527736
10003,child_10003,0.202569,-0.936230,-2.185373,-0.539295,0.295142,-1.284768,-0.337664,-0.572227,0.227159,-0.334837,0.579474,-0.282973,-0.099469,-2.123066,0.509870,0.890821,0.845889,-0.244173,0.026125,-0.999012,-1.012526,0.386514,-0.981300,0.116150,0.759227,0.320556,0.478148,0.903250,-0.057938,0.333908,0.461512,0.707595,0.586863,-0.276185,0.271347,0.189788,0.284842,0.244191,0.506380,-0.596521,0.330326,1.288207,0.183986,-0.591357,-0.471705,-0.649464,0.172046,-0.297260,-0.757538,1.014872,0.016306,-0.279174,0.762659,-0.021222,0.048480,0.403323,-0.090223,0.114287,-0.092992,-1.372772,0.270142,-0.804907,-0.966802,1.948965,1.283885,0.860939,0.466212,-0.439931,0.080042,-1.293413,0.842109,-1.106968,-0.075110,-0.942130,0.325030,0.396149,0.243902,1.319738,0.197340,-1.214957,-0.980077,0.705570,-0.734423,0.362215,0.726164,-1.424490,0.399732,-0.659752,-1.238043,1.063532,0.338632,-0.356401,-0.852047,0.294063,0.014514,-0.093036,-0.608894,-0.136158,-1.944133,-0.277923,0.061612,0.583507,1.041664,-1.068006,-0.288229,1.166152,-0.066353,-0.246688,-0.550894,-0.461764,-0.016823,1.557202,0.651296,0.498737,0.391412,0.451149,-0.696186,-0.348003,-0.049374,1.039622,0.497969,-0.730707,1.199138,0.725468,1.012660,-1.561551,0.525131,-0.386842
10003,child_10003,-0.029694,-1.190756,-2.602232,-0.154567,0.207200,-1.478068,-0.534030,-0.635888,0.136233,0.322376,0.573990,-0.177600,-0.342028,-2.258921,0.369034,1.022079,1.077809,-0.087489,-0.155138,-1.163529,-0.728418,0.062729,-1.262272,-0.099542,0.756221,0.060491,0.289445,0.956713,-0.130848,0.610696,1.001195,0.839798,0.740920,-0.316580,0.415132,0.028789,0.235871,0.549942,0.719025,-0.430790,0.532959,1.508485,0.580669,-0.332570,-0.382417,-0.294374,0.134080,-0.147745,-0.805276,0.703615,-0.071352,-0.282864,0.630378,0.108835,0.319947,0.343929,-0.306190,0.467571,-0.077405,-1.932649,0.331488,-0.660888,-1.501143,1.839490,1.600284,0.880362,0.239935,-0.363326,-0.085492,-1.536085,1.129561,-1.049352,-0.111255,-0.724643,0.105644,0.394697,0.703763,1.465629,0.309617,-0.974440,-0.854747,0.388388,-0.529483,0.327320,0.237921,-1.581932,0.006536,-0.680606,-1.708325,1.012373,0.310750,-0.356888,-1.017453,0.758581,0.122720,-0.456754,-0.291198,0.231964,-2.100821,-0.269873,-0.197373,0.642342,0.580051,-1.080259,-0.634966,1.210961,0.287042,-0.592467,-0.738288,-0.172426,-0.088916,1.770776,0.869300,0.155842,0.159154,0.573930,-0.577678,-0.508228,-0.290871,0.941154,0.394149,-0.643960,1.422827,0.737244,0.879380,-1.561681,0.604734,-0.321985
